"Date","Portfolio_Drawdown","NASDAQ_Drawdown"
"1970-01-02",0,0
"1970-01-03",-0.74,-3.17
"1970-01-04",0,0
"1970-01-05",0,-2.64
"1970-01-06",-10.96,-17.8
"1970-01-07",-23.83,-27.59
"1970-01-08",-10.36,-15.56
"1970-01-09",-14.56,-19.79
"1970-01-10",-4.67,-10.44
"1970-01-11",-33.02,-21.8
"1970-01-12",-35.73,-28.26
"1970-01-13",-45.84,-44.69
"1970-01-14",-52.95,-47.4
"1970-01-15",-42.85,-40.96
"1970-01-16",-55.8,-54.18
"1970-01-17",-60.26,-60.82
"1970-01-18",-54.32,-54.94
"1970-01-19",-56.53,-55.06
"1970-01-20",-52.26,-54
"1970-01-21",-54.72,-56.84
"1970-01-22",-60.95,-61.56
"1970-01-23",-66.88,-68.09
"1970-01-24",-60.72,-64.01
"1970-01-25",-53.67,-58.89
"1970-01-26",-54.65,-58.47
"1970-01-27",-49.69,-58.82
"1970-01-28",-56.81,-63.13
"1970-01-29",-55.54,-60.71
"1970-01-30",-60.14,-64.05
"1970-01-31",-62.01,-65.6
"1970-02-01",-65.23,-68.85
"1970-02-02",-66.83,-71.72
"1970-02-03",-67.61,-72
"1970-02-04",-72.24,-75.04
"1970-02-05",-67.02,-71.69
"1970-02-06",-61.89,-68.51
"1970-02-07",-66.97,-71.56
"1970-02-08",-66.57,-71.88
"1970-02-09",-65.33,-71.52
"1970-02-10",-67.08,-71.44
"1970-02-11",-64.17,-68.82
"1970-02-12",-60.26,-66.02
"1970-02-13",-59.86,-65.45
"1970-02-14",-55.91,-63.06
"1970-02-15",-53.46,-61.45
"1970-02-16",-55.06,-61.95
"1970-02-17",-51.69,-58.86
"1970-02-18",-51.61,-58.26
"1970-02-19",-49.57,-57.35
"1970-02-20",-48.29,-56.01
"1970-02-21",-50.29,-56.78
"1970-02-22",-50.76,-57.54
"1970-02-23",-53,-59.12
"1970-02-24",-50.33,-57.7
"1970-02-25",-47.12,-56.4
"1970-02-26",-50.94,-59.82
"1970-02-27",-53.46,-60.86
"1970-02-28",-51.79,-59.61
"1970-03-01",-45.46,-57.95
"1970-03-02",-42.99,-55.36
"1970-03-03",-40.42,-53.68
"1970-03-04",-39.53,-56.09
"1970-03-05",-38.34,-56.32
"1970-03-06",-40.12,-57.43
"1970-03-07",-42.32,-59.09
"1970-03-08",-36.57,-55.96
"1970-03-09",-38.15,-56.2
"1970-03-10",-34.88,-53.48
"1970-03-11",-34.97,-54.18
"1970-03-12",-34.73,-54.19
"1970-03-13",-34.43,-54.86
"1970-03-14",-29.33,-52.46
"1970-03-15",-30.86,-53.05
