"Metric","Portfolio","NASDAQ"
"Mean Return (%)",1.3363,0.8289
"Std Dev (%)",7.3016,6.3359
"Annualized Return (%)",16.0354,9.9473
"Annualized Volatility (%)",25.29,21.95
"VaR 95% Hist",-10.996,-9.9971
"VaR 99% Hist",-15.6616,-16.8287
"VaR 95% Param",-10.6748,-9.5936
"VaR 99% Param",-15.6472,-13.9083
"VaR 95% MC",-10.9537,-9.7358
"VaR 99% MC",-15.8156,-13.8265
"ES 95% Hist",-15.3165,-13.9514
"ES 99% Hist",-21.0015,-20.0026
"ES 95% Param",-13.7212,-12.237
"ES 99% Param",-18.1397,-16.0712
"ES 95% MC",-13.8581,-12.3535
"ES 99% MC",-18.0703,-16.1596
"Max Drawdown",-72.24,-75.04
