"Date","Portfolio_Wealth_Index","NASDAQ_Wealth_Index"
1999-12-01,1.252,1.2198
2000-01-01,1.2428,1.1811
2000-02-01,1.455,1.4078
2000-03-01,1.6769,1.3707
2000-04-01,1.4931,1.1572
2000-05-01,1.2774,1.0194
2000-06-01,1.5033,1.1888
2000-07-01,1.4327,1.1291
2000-08-01,1.5987,1.2608
2000-09-01,1.1232,1.1009
2000-10-01,1.0777,1.01
2000-11-01,0.9083,0.7787
2000-12-01,0.789,0.7405
2001-01-01,0.9584,0.8311
2001-02-01,0.7412,0.645
2001-03-01,0.6664,0.5516
2001-04-01,0.766,0.6343
2001-05-01,0.729,0.6326
2001-06-01,0.8006,0.6476
2001-07-01,0.7593,0.6076
2001-08-01,0.6548,0.5412
2001-09-01,0.5554,0.4493
2001-10-01,0.6587,0.5066
2001-11-01,0.7769,0.5787
2001-12-01,0.7604,0.5846
2002-01-01,0.8437,0.5797
2002-02-01,0.7242,0.519
2002-03-01,0.7455,0.5531
2002-04-01,0.6683,0.506
2002-05-01,0.637,0.4843
2002-06-01,0.5831,0.4386
2002-07-01,0.5562,0.3981
2002-08-01,0.5431,0.3941
2002-09-01,0.4656,0.3513
2002-10-01,0.5531,0.3986
2002-11-01,0.639,0.4433
2002-12-01,0.5539,0.4003
2003-01-01,0.5606,0.3959
2003-02-01,0.5814,0.4009
2003-03-01,0.552,0.402
2003-04-01,0.6009,0.4389
2003-05-01,0.6665,0.4784
2003-06-01,0.6732,0.4864
2003-07-01,0.7393,0.5201
2003-08-01,0.7804,0.5427
2003-09-01,0.7536,0.5356
2003-10-01,0.8101,0.5792
2003-11-01,0.8115,0.5876
2003-12-01,0.8458,0.6005
2004-01-01,0.8672,0.6193
2004-02-01,0.8336,0.6084
2004-03-01,0.8257,0.5978
2004-04-01,0.7881,0.5756
2004-05-01,0.833,0.5955
2004-06-01,0.8868,0.6138
2004-07-01,0.8226,0.5657
2004-08-01,0.7804,0.551
2004-09-01,0.8084,0.5686
2004-10-01,0.9146,0.592
2004-11-01,0.956,0.6285
2004-12-01,0.9991,0.6521
2005-01-01,1.014,0.6182
2005-02-01,1.0341,0.615
2005-03-01,1.0041,0.5993
2005-04-01,0.9672,0.576
2005-05-01,1.0637,0.6199
2005-06-01,1.0371,0.6166
2005-07-01,1.0919,0.6549
2005-08-01,1.0905,0.6451
2005-09-01,1.0946,0.645
2005-10-01,1.0996,0.6356
2005-11-01,1.1851,0.6693
2005-12-01,1.1593,0.661
2006-01-01,1.1809,0.6912
2006-02-01,1.1593,0.6838
2006-03-01,1.1717,0.7013
2006-04-01,1.1879,0.6962
2006-05-01,1.0936,0.6531
2006-06-01,1.1072,0.6511
2006-07-01,1.1327,0.6269
2006-08-01,1.23,0.6546
2006-09-01,1.3377,0.677
2006-10-01,1.3997,0.7094
2006-11-01,1.4844,0.7289
2006-12-01,1.4286,0.724
2007-01-01,1.4441,0.7386
2007-02-01,1.3804,0.7242
2007-03-01,1.4209,0.7259
2007-04-01,1.5223,0.7569
2007-05-01,1.6162,0.7807
2007-06-01,1.6479,0.7803
2007-07-01,1.6698,0.7632
2007-08-01,1.7689,0.7782
2007-09-01,1.858,0.8098
2007-10-01,2.0621,0.857
2007-11-01,1.8969,0.7976
2007-12-01,1.9962,0.795
2008-01-01,1.6791,0.7164
2008-02-01,1.5497,0.6809
2008-03-01,1.6397,0.6832
2008-04-01,1.7703,0.7232
2008-05-01,1.8613,0.7562
2008-06-01,1.7066,0.6873
2008-07-01,1.6683,0.6971
2008-08-01,1.7586,0.7097
2008-09-01,1.5266,0.627
2008-10-01,1.3213,0.5158
2008-11-01,1.1728,0.4603
2008-12-01,1.184,0.4727
2009-01-01,1.109,0.4426
2009-02-01,1.069,0.413
2009-03-01,1.246,0.4582
2009-04-01,1.3886,0.5148
2009-05-01,1.4108,0.5318
2009-06-01,1.5115,0.55
2009-07-01,1.6666,0.593
2009-08-01,1.7018,0.6022
2009-09-01,1.7575,0.6362
2009-10-01,1.7762,0.613
2009-11-01,1.8474,0.6428
2009-12-01,1.9582,0.6802
2010-01-01,1.8272,0.6437
2010-02-01,1.935,0.6709
2010-03-01,2.0829,0.7188
2010-04-01,2.1742,0.7377
2010-05-01,1.957,0.6765
2010-06-01,1.8241,0.6322
2010-07-01,1.9656,0.6758
2010-08-01,1.7708,0.6337
2010-09-01,1.996,0.71
2010-10-01,2.1286,0.7516
2010-11-01,2.0421,0.7488
2010-12-01,2.1903,0.7952
2011-01-01,2.2494,0.8093
2011-02-01,2.2072,0.834
2011-03-01,2.1346,0.8336
2011-04-01,2.2514,0.8613
2011-05-01,2.1807,0.8499
2011-06-01,2.1347,0.8314
2011-07-01,2.2102,0.8262
2011-08-01,2.1052,0.7732
2011-09-01,2.1119,0.724
2011-10-01,2.3725,0.8046
2011-11-01,2.3196,0.7854
2011-12-01,2.2511,0.7809
2012-01-01,2.4946,0.8434
2012-02-01,2.6616,0.8893
2012-03-01,2.7913,0.9267
2012-04-01,2.7567,0.9131
2012-05-01,2.4954,0.8475
2012-06-01,2.6341,0.8798
2012-07-01,2.5916,0.8811
2012-08-01,2.7747,0.9193
2012-09-01,2.7163,0.9341
2012-10-01,2.5488,0.8924
2012-11-01,2.533,0.9023
2012-12-01,2.5693,0.9051
2013-01-01,2.5809,0.9418
2013-02-01,2.5564,0.9473
2013-03-01,2.5818,0.9794
2013-04-01,2.7206,0.9978
2013-05-01,2.8711,1.0359
2013-06-01,2.7618,1.0201
2013-07-01,2.8342,1.087
2013-08-01,2.8191,1.076
2013-09-01,2.8685,1.1305
2013-10-01,2.9837,1.1749
2013-11-01,3.0559,1.2169
2013-12-01,3.2039,1.2519
2014-01-01,3.0696,1.2301
2014-02-01,3.1546,1.2913
2014-03-01,3.3002,1.2586
2014-04-01,3.3987,1.2333
2014-05-01,3.5449,1.2717
2014-06-01,3.6681,1.3213
2014-07-01,3.7945,1.3098
2014-08-01,3.9345,1.3729
2014-09-01,3.8931,1.3469
2014-10-01,3.9407,1.388
2014-11-01,4.2825,1.4363
2014-12-01,4.246,1.4196
2015-01-01,4.0091,1.3894
2015-02-01,4.3008,1.4878
2015-03-01,4.1039,1.469
2015-04-01,4.3577,1.4812
2015-05-01,4.4276,1.5197
2015-06-01,4.1334,1.4948
2015-07-01,4.1355,1.5372
2015-08-01,3.8849,1.4317
2015-09-01,3.931,1.3849
2015-10-01,4.3796,1.5148
2015-11-01,4.3873,1.5313
2015-12-01,4.2584,1.501
2016-01-01,3.9927,1.383
2016-02-01,3.9903,1.3662
2016-03-01,4.4127,1.4597
2016-04-01,4.0941,1.4314
2016-05-01,4.2988,1.4832
2016-06-01,4.2888,1.4516
2016-07-01,4.5696,1.5473
2016-08-01,4.669,1.5626
2016-09-01,4.7639,1.5922
2016-10-01,4.6816,1.5554
2016-11-01,4.6856,1.5958
