"Date","Portfolio_Wealth_Index","NASDAQ_Wealth_Index"
"1970-01-02",1.252,1.2198
"1970-01-03",1.2428,1.1811
"1970-01-04",1.455,1.4078
"1970-01-05",1.6769,1.3707
"1970-01-06",1.4931,1.1572
"1970-01-07",1.2774,1.0194
"1970-01-08",1.5033,1.1888
"1970-01-09",1.4327,1.1291
"1970-01-10",1.5987,1.2608
"1970-01-11",1.1232,1.1009
"1970-01-12",1.0777,1.01
"1970-01-13",0.9083,0.7787
"1970-01-14",0.789,0.7405
"1970-01-15",0.9584,0.8311
"1970-01-16",0.7412,0.645
"1970-01-17",0.6664,0.5516
"1970-01-18",0.766,0.6343
"1970-01-19",0.729,0.6326
"1970-01-20",0.8006,0.6476
"1970-01-21",0.7593,0.6076
"1970-01-22",0.6548,0.5412
"1970-01-23",0.5554,0.4493
"1970-01-24",0.6587,0.5066
"1970-01-25",0.7769,0.5787
"1970-01-26",0.7604,0.5846
"1970-01-27",0.8437,0.5797
"1970-01-28",0.7242,0.519
"1970-01-29",0.7455,0.5531
"1970-01-30",0.6683,0.506
"1970-01-31",0.637,0.4843
"1970-02-01",0.5831,0.4386
"1970-02-02",0.5562,0.3981
"1970-02-03",0.5431,0.3941
"1970-02-04",0.4656,0.3513
"1970-02-05",0.5531,0.3986
"1970-02-06",0.639,0.4433
"1970-02-07",0.5539,0.4003
"1970-02-08",0.5606,0.3959
"1970-02-09",0.5814,0.4009
"1970-02-10",0.552,0.402
"1970-02-11",0.6009,0.4389
"1970-02-12",0.6665,0.4784
"1970-02-13",0.6732,0.4864
"1970-02-14",0.7393,0.5201
"1970-02-15",0.7804,0.5427
"1970-02-16",0.7536,0.5356
"1970-02-17",0.8101,0.5792
"1970-02-18",0.8115,0.5876
"1970-02-19",0.8458,0.6005
"1970-02-20",0.8672,0.6193
"1970-02-21",0.8336,0.6084
"1970-02-22",0.8257,0.5978
"1970-02-23",0.7881,0.5756
"1970-02-24",0.833,0.5955
"1970-02-25",0.8868,0.6138
"1970-02-26",0.8226,0.5657
"1970-02-27",0.7804,0.551
"1970-02-28",0.8084,0.5686
"1970-03-01",0.9146,0.592
"1970-03-02",0.956,0.6285
"1970-03-03",0.9991,0.6521
"1970-03-04",1.014,0.6182
"1970-03-05",1.0341,0.615
"1970-03-06",1.0041,0.5993
"1970-03-07",0.9672,0.576
"1970-03-08",1.0637,0.6199
"1970-03-09",1.0371,0.6166
"1970-03-10",1.0919,0.6549
"1970-03-11",1.0905,0.6451
"1970-03-12",1.0946,0.645
"1970-03-13",1.0996,0.6356
"1970-03-14",1.1851,0.6693
"1970-03-15",1.1593,0.661
"1970-03-16",1.1809,0.6912
"1970-03-17",1.1593,0.6838
"1970-03-18",1.1717,0.7013
"1970-03-19",1.1879,0.6962
"1970-03-20",1.0936,0.6531
"1970-03-21",1.1072,0.6511
"1970-03-22",1.1327,0.6269
"1970-03-23",1.23,0.6546
"1970-03-24",1.3377,0.677
"1970-03-25",1.3997,0.7094
"1970-03-26",1.4844,0.7289
"1970-03-27",1.4286,0.724
"1970-03-28",1.4441,0.7386
"1970-03-29",1.3804,0.7242
"1970-03-30",1.4209,0.7259
"1970-03-31",1.5223,0.7569
"1970-04-01",1.6162,0.7807
"1970-04-02",1.6479,0.7803
"1970-04-03",1.6698,0.7632
"1970-04-04",1.7689,0.7782
"1970-04-05",1.858,0.8098
"1970-04-06",2.0621,0.857
"1970-04-07",1.8969,0.7976
"1970-04-08",1.9962,0.795
"1970-04-09",1.6791,0.7164
"1970-04-10",1.5497,0.6809
"1970-04-11",1.6397,0.6832
"1970-04-12",1.7703,0.7232
"1970-04-13",1.8613,0.7562
"1970-04-14",1.7066,0.6873
"1970-04-15",1.6683,0.6971
"1970-04-16",1.7586,0.7097
"1970-04-17",1.5266,0.627
"1970-04-18",1.3213,0.5158
"1970-04-19",1.1728,0.4603
"1970-04-20",1.184,0.4727
"1970-04-21",1.109,0.4426
"1970-04-22",1.069,0.413
"1970-04-23",1.246,0.4582
"1970-04-24",1.3886,0.5148
"1970-04-25",1.4107,0.5318
"1970-04-26",1.5115,0.55
"1970-04-27",1.6666,0.593
"1970-04-28",1.7018,0.6022
"1970-04-29",1.7575,0.6362
"1970-04-30",1.7762,0.613
"1970-05-01",1.8474,0.6428
"1970-05-02",1.9582,0.6802
"1970-05-03",1.8272,0.6437
"1970-05-04",1.935,0.6709
"1970-05-05",2.0829,0.7188
"1970-05-06",2.1742,0.7377
"1970-05-07",1.957,0.6765
"1970-05-08",1.8241,0.6322
"1970-05-09",1.9656,0.6758
"1970-05-10",1.7708,0.6337
"1970-05-11",1.996,0.71
"1970-05-12",2.1286,0.7516
"1970-05-13",2.0421,0.7488
"1970-05-14",2.1903,0.7952
"1970-05-15",2.2494,0.8093
"1970-05-16",2.2072,0.834
"1970-05-17",2.1346,0.8336
