"Date","Portfolio_Drawdown","NASDAQ_Drawdown"
1999-12-01,0,0
2000-02-01,0,0
2014-11-01,0,0
2015-02-01,0,0
2015-05-01,0,0
2016-07-01,0,0
2016-08-01,0,0
2016-09-01,0,0
2016-12-01,0,0
2017-01-01,0,0
2017-02-01,0,0
2017-03-01,0,0
2017-04-01,0,0
2017-05-01,0,0
2017-07-01,0,0
2017-08-01,0,0
2017-09-01,0,0
2017-10-01,0,0
2017-11-01,0,0
2017-12-01,0,0
2018-01-01,0,0
2018-05-01,0,0
2018-08-01,0,0
2019-07-01,0,0
2019-10-01,0,0
2019-11-01,0,0
2019-12-01,0,0
2020-01-01,0,0
2020-05-01,0,0
2020-06-01,0,0
2020-08-01,0,0
2020-12-01,0,0
2021-01-01,0,0
2021-02-01,0,0
2021-03-01,0,0
2021-04-01,0,0
2021-06-01,0,0
2021-07-01,0,0
2021-08-01,0,0
2021-10-01,0,0
2021-11-01,0,0
2021-12-01,0,0
2024-03-01,0,0
2024-06-01,0,0
2024-09-01,0,0
2024-11-01,0,0
2025-06-01,0,0
2025-07-01,0,0
2025-08-01,0,0
2025-09-01,0,0
2025-10-01,0,0
